Hugo_Symbol	Variant_type	Tumour
ABCA6	LoF	LUAD
ABCG5	LoF	LUAD
ACTL6B	LoF	LUAD
ADAMTS6	LoF	LUAD
AHCTF1	LoF	LUAD
ARAP3	LoF	LUAD
ARHGAP32	LoF	LUAD
ARID1A	LoF	LUAD
ARID2	LoF	LUAD
ARID4B	LoF	LUAD
ATM	LoF	LUAD
ATR	LoF	LUAD
BDP1	LoF	LUAD
BMS1	LoF	LUAD
CASC5	LoF	LUAD
CCDC80	LoF	LUAD
CD163	LoF	LUAD
CD5L	LoF	LUAD
CFAP70	LoF	LUAD
CFHR4	LoF	LUAD
CMAS	LoF	LUAD
CNOT1	LoF	LUAD
COL12A1	LoF	LUAD
COL25A1	LoF	LUAD
COL28A1	LoF	LUAD
COL5A2	LoF	LUAD
COL5A3	LoF	LUAD
DOCK10	LoF	LUAD
DSG3	LoF	LUAD
DUSP11	LoF	LUAD
DZIP3	LoF	LUAD
EDIL3	LoF	LUAD
EPHA6	LoF	LUAD
ESCO1	LoF	LUAD
FBXW7	LoF	LUAD
FER	LoF	LUAD
FLT3	LoF	LUAD
GALNT8	LoF	LUAD
GLTSCR1L	LoF	LUAD
HERC4	LoF	LUAD
IARS2	LoF	LUAD
KDM5C	LoF	LUAD
KEAP1	LoF	LUAD
KIF21A	LoF	LUAD
KIF6	LoF	LUAD
LAMC1	LoF	LUAD
LARP4	LoF	LUAD
LPPR4	LoF	LUAD
MAP3K13	LoF	LUAD
MAP4	LoF	LUAD
MGA	LoF	LUAD
MYOF	LoF	LUAD
NEBL	LoF	LUAD
NF1	LoF	LUAD
NGEF	LoF	LUAD
NIPBL	LoF	LUAD
PCDHA2	LoF	LUAD
PCDHGB7	LoF	LUAD
PHF3	LoF	LUAD
PLXND1	LoF	LUAD
POSTN	LoF	LUAD
POTEA	LoF	LUAD
PPP6R1	LoF	LUAD
PTPRA	LoF	LUAD
RABGAP1	LoF	LUAD
RB1	LoF	LUAD
RGS22	LoF	LUAD
RGS7	LoF	LUAD
RGS9	LoF	LUAD
RIMBP2	LoF	LUAD
RP11-341D18.4	LoF	LUAD
SETD2	LoF	LUAD
SLC17A6	LoF	LUAD
SLC6A5	LoF	LUAD
SLC9C2	LoF	LUAD
SND1	LoF	LUAD
SNX9	LoF	LUAD
SP1	LoF	LUAD
SRRM2	LoF	LUAD
STK11	LoF	LUAD
SULT1E1	LoF	LUAD
TMEM135	LoF	LUAD
TMPRSS11F	LoF	LUAD
TP53	LoF	LUAD
TPTE	LoF	LUAD
TTC21B	LoF	LUAD
USP28	LoF	LUAD
VARS	LoF	LUAD
VPS13C	LoF	LUAD
ZDHHC15	LoF	LUAD
ZNF341	LoF	LUAD
ZWINT	LoF	LUAD
A2M	Missense	LUAD
AASDH	Missense	LUAD
AASS	Missense	LUAD
ABCA10	Missense	LUAD
ABCA2	Missense	LUAD
ABCA5	Missense	LUAD
ABCA6	Missense	LUAD
ABCC10	Missense	LUAD
ABCF3	Missense	LUAD
ABCG5	Missense	LUAD
ABL2	Missense	LUAD
ACACB	Missense	LUAD
ACCSL	Missense	LUAD
ACSM2B	Missense	LUAD
ACSM4	Missense	LUAD
ADAM18	Missense	LUAD
ADAM23	Missense	LUAD
ADAM28	Missense	LUAD
ADAMTS17	Missense	LUAD
ADAMTS18	Missense	LUAD
ADAMTS19	Missense	LUAD
ADAMTS2	Missense	LUAD
ADAMTS3	Missense	LUAD
ADAMTS6	Missense	LUAD
ADAMTSL3	Missense	LUAD
ADCY6	Missense	LUAD
ADRBK2	Missense	LUAD
AFP	Missense	LUAD
AGMO	Missense	LUAD
AGO2	Missense	LUAD
AGO3	Missense	LUAD
AGXT2	Missense	LUAD
AHCTF1	Missense	LUAD
AK8	Missense	LUAD
AKAP17A	Missense	LUAD
AKR1B15	Missense	LUAD
ANKRD12	Missense	LUAD
ANKRD26	Missense	LUAD
ANKRD42	Missense	LUAD
ANKRD50	Missense	LUAD
ANLN	Missense	LUAD
ANO2	Missense	LUAD
ANO3	Missense	LUAD
ANO4	Missense	LUAD
ANO5	Missense	LUAD
ANTXR1	Missense	LUAD
ANXA6	Missense	LUAD
AOX1	Missense	LUAD
ARAP3	Missense	LUAD
ARHGAP25	Missense	LUAD
ARHGAP35	Missense	LUAD
ARHGEF10L	Missense	LUAD
ARHGEF4	Missense	LUAD
ARHGEF9	Missense	LUAD
ASAP1	Missense	LUAD
ASAP2	Missense	LUAD
ASPM	Missense	LUAD
ATAD2	Missense	LUAD
ATG16L1	Missense	LUAD
ATM	Missense	LUAD
ATP10D	Missense	LUAD
ATP13A5	Missense	LUAD
ATP1A4	Missense	LUAD
ATP8A1	Missense	LUAD
ATP8A2	Missense	LUAD
AUTS2	Missense	LUAD
AVPR1B	Missense	LUAD
BAHD1	Missense	LUAD
BBS7	Missense	LUAD
BCKDHB	Missense	LUAD
BICD1	Missense	LUAD
BMPER	Missense	LUAD
BMS1	Missense	LUAD
BRAF	Missense	LUAD
C10orf82	Missense	LUAD
C10orf90	Missense	LUAD
C11orf63	Missense	LUAD
C14orf166	Missense	LUAD
C1orf94	Missense	LUAD
C2CD3	Missense	LUAD
C3orf20	Missense	LUAD
C4orf17	Missense	LUAD
C7	Missense	LUAD
C8B	Missense	LUAD
CABS1	Missense	LUAD
CAD	Missense	LUAD
CALHM1	Missense	LUAD
CAPN11	Missense	LUAD
CAPN6	Missense	LUAD
CAPN7	Missense	LUAD
CASP2	Missense	LUAD
CBL	Missense	LUAD
CCDC136	Missense	LUAD
CCDC171	Missense	LUAD
CCDC178	Missense	LUAD
CCDC67	Missense	LUAD
CCKBR	Missense	LUAD
CD5L	Missense	LUAD
CDC42BPG	Missense	LUAD
CDH10	Missense	LUAD
CDH12	Missense	LUAD
CDH15	Missense	LUAD
CDH3	Missense	LUAD
CDH5	Missense	LUAD
CEACAM5	Missense	LUAD
CELA3A	Missense	LUAD
CELSR1	Missense	LUAD
CEP192	Missense	LUAD
CFH	Missense	LUAD
CFHR4	Missense	LUAD
CHAT	Missense	LUAD
CHD6	Missense	LUAD
CHM	Missense	LUAD
CHN2	Missense	LUAD
CHRD	Missense	LUAD
CHRNA2	Missense	LUAD
CHRNB2	Missense	LUAD
CLEC4F	Missense	LUAD
CLSTN2	Missense	LUAD
CNKSR1	Missense	LUAD
CNKSR2	Missense	LUAD
CNTLN	Missense	LUAD
COL14A1	Missense	LUAD
COL15A1	Missense	LUAD
COL25A1	Missense	LUAD
COL28A1	Missense	LUAD
COL6A2	Missense	LUAD
COL6A6	Missense	LUAD
CPA3	Missense	LUAD
CPAMD8	Missense	LUAD
CPQ	Missense	LUAD
CRB1	Missense	LUAD
CRHBP	Missense	LUAD
CRIM1	Missense	LUAD
CRISP2	Missense	LUAD
CRISPLD1	Missense	LUAD
CTNND1	Missense	LUAD
CUL1	Missense	LUAD
CWC27	Missense	LUAD
CWF19L2	Missense	LUAD
CYC1	Missense	LUAD
CYP11B1	Missense	LUAD
DACT1	Missense	LUAD
DCC	Missense	LUAD
DGKI	Missense	LUAD
DIAPH3	Missense	LUAD
DIP2A	Missense	LUAD
DLEC1	Missense	LUAD
DLG5	Missense	LUAD
DLGAP2	Missense	LUAD
DNAJC13	Missense	LUAD
DNM1	Missense	LUAD
DNMT3A	Missense	LUAD
DOCK10	Missense	LUAD
DOCK5	Missense	LUAD
DPP4	Missense	LUAD
DPP8	Missense	LUAD
DPYD	Missense	LUAD
DRC7	Missense	LUAD
DSG3	Missense	LUAD
DTNB	Missense	LUAD
DVL3	Missense	LUAD
DYTN	Missense	LUAD
EBF2	Missense	LUAD
EDIL3	Missense	LUAD
EEF2K	Missense	LUAD
EFTUD2	Missense	LUAD
EGFR	Missense	LUAD
EIF2AK3	Missense	LUAD
ELSPBP1	Missense	LUAD
ENPEP	Missense	LUAD
ENTHD1	Missense	LUAD
EPB41L3	Missense	LUAD
EPB41L5	Missense	LUAD
EPHA3	Missense	LUAD
EPHA4	Missense	LUAD
EPHA6	Missense	LUAD
EPHA7	Missense	LUAD
EPN2	Missense	LUAD
EPRS	Missense	LUAD
ESYT2	Missense	LUAD
ETNPPL	Missense	LUAD
EVI5	Missense	LUAD
F11	Missense	LUAD
F13A1	Missense	LUAD
F5	Missense	LUAD
FAM13C	Missense	LUAD
FAM3D	Missense	LUAD
FAM71B	Missense	LUAD
FANK1	Missense	LUAD
FAP	Missense	LUAD
FASN	Missense	LUAD
FBXL17	Missense	LUAD
FBXO30	Missense	LUAD
FBXO39	Missense	LUAD
FBXW7	Missense	LUAD
FCRL2	Missense	LUAD
FCRL4	Missense	LUAD
FER	Missense	LUAD
FHOD1	Missense	LUAD
FLT4	Missense	LUAD
FMO3	Missense	LUAD
FNIP2	Missense	LUAD
FOXN4	Missense	LUAD
FREM2	Missense	LUAD
FSD1	Missense	LUAD
FSTL5	Missense	LUAD
GABRA4	Missense	LUAD
GABRA5	Missense	LUAD
GABRR1	Missense	LUAD
GADL1	Missense	LUAD
GALNT13	Missense	LUAD
GALNT8	Missense	LUAD
GBP5	Missense	LUAD
GFPT1	Missense	LUAD
GFRA1	Missense	LUAD
GGH	Missense	LUAD
GLDC	Missense	LUAD
GLP2R	Missense	LUAD
GLRA4	Missense	LUAD
GNRHR	Missense	LUAD
GPR26	Missense	LUAD
GPRC5C	Missense	LUAD
GRHL3	Missense	LUAD
GRIA4	Missense	LUAD
GRIK1	Missense	LUAD
GRIK2	Missense	LUAD
GRIK3	Missense	LUAD
GRM2	Missense	LUAD
GRM7	Missense	LUAD
GRM8	Missense	LUAD
GTPBP10	Missense	LUAD
GTPBP4	Missense	LUAD
GUCY1A3	Missense	LUAD
GXYLT1	Missense	LUAD
HCN1	Missense	LUAD
HDAC6	Missense	LUAD
HDC	Missense	LUAD
HEATR5B	Missense	LUAD
HELB	Missense	LUAD
HELQ	Missense	LUAD
HERC4	Missense	LUAD
HHIPL1	Missense	LUAD
HIP1	Missense	LUAD
HLX	Missense	LUAD
HMGCLL1	Missense	LUAD
HNF4A	Missense	LUAD
HNRNPA1	Missense	LUAD
HTR7	Missense	LUAD
IARS2	Missense	LUAD
IDO1	Missense	LUAD
IFT172	Missense	LUAD
IGF2BP1	Missense	LUAD
IGF2R	Missense	LUAD
IGSF21	Missense	LUAD
IL16	Missense	LUAD
IL17RD	Missense	LUAD
IL18RAP	Missense	LUAD
IL1RAPL1	Missense	LUAD
IL1RAPL2	Missense	LUAD
IL9R	Missense	LUAD
INADL	Missense	LUAD
INSRR	Missense	LUAD
INTU	Missense	LUAD
ISOC1	Missense	LUAD
ITGA2	Missense	LUAD
ITGA4	Missense	LUAD
ITGBL1	Missense	LUAD
ITK	Missense	LUAD
JARID2	Missense	LUAD
JPH1	Missense	LUAD
KCNB2	Missense	LUAD
KCNH2	Missense	LUAD
KCNMA1	Missense	LUAD
KCNQ2	Missense	LUAD
KCTD19	Missense	LUAD
KDM2B	Missense	LUAD
KEAP1	Missense	LUAD
KIF13A	Missense	LUAD
KIF14	Missense	LUAD
KLB	Missense	LUAD
KLHL1	Missense	LUAD
KLHL14	Missense	LUAD
KNTC1	Missense	LUAD
KRT17	Missense	LUAD
KRT2	Missense	LUAD
KRT26	Missense	LUAD
KRT35	Missense	LUAD
KRT37	Missense	LUAD
L1CAM	Missense	LUAD
L3MBTL1	Missense	LUAD
LAMA3	Missense	LUAD
LAMA4	Missense	LUAD
LAMB1	Missense	LUAD
LAMC1	Missense	LUAD
LANCL2	Missense	LUAD
LARP1	Missense	LUAD
LATS2	Missense	LUAD
LCMT1	Missense	LUAD
LCT	Missense	LUAD
LDB2	Missense	LUAD
LEF1	Missense	LUAD
LGR5	Missense	LUAD
LMAN1	Missense	LUAD
LMO7	Missense	LUAD
LONRF3	Missense	LUAD
LPIN2	Missense	LUAD
LPPR4	Missense	LUAD
LPPR5	Missense	LUAD
LRFN5	Missense	LUAD
