Regulator	Regulator_class
A1BG	EM_downstream
AADAC	UC_downstream
ABCB1	EM_downstream
ABCB6	EM_downstream
ABCC1	UC_downstream
ABCC2	UC_downstream
ABL1	Mixed_downstream
ACO1	MM_downstream
ACTA2	Mixed_downstream
ACTL6A	Mixed_downstream
ADAM17	EM_downstream
ADAR	UC_downstream
ADCY7	EM_downstream
ADIPOQ	None
ADIPOR1	UC_downstream
ADIRF	EM_downstream
ADM	UC_downstream
ADORA2A	UC_downstream
ADORA2B	UC_downstream
ADRA2A	EM_downstream
ADRA2B	EM_downstream
ADRA2C	EM_downstream
ADRB1	UC_downstream
ADRB2	Mixed_downstream
AES	Mixed_downstream
AGAP2	EM_downstream
AGO1	None
AGO2	UC_downstream
AGO3	None
AGO4	None
AGT	EM_downstream
AGTR1	EM_downstream
AGTR2	UC_downstream
AHR	Mixed_downstream
AHRR	UC_downstream
AIM2	EM_downstream
AKAP13	EM_downstream
AKR1B10	EM_downstream
AKR1B1	Mixed_downstream
AKT1	EM_downstream
AKT2	EM_downstream
ALDH1A1	Mixed_downstream
ALDH2	None
ALK	EM_downstream
ALOX15	Mixed_downstream
ALX1	Mixed_downstream
ALX4	None
AMH	EM_downstream
AMN	EM_downstream
ANAPC10	EM_downstream
ANAPC11	EM_downstream
ANAPC15	EM_downstream
ANAPC16	EM_downstream
ANAPC1	EM_downstream
ANAPC2	EM_downstream
ANAPC4	EM_downstream
ANAPC5	EM_downstream
ANAPC7	EM_downstream
ANGPT1	None
ANGPT2	None
ANGPT4	EM_downstream
ANXA1	EM_downstream
AP1S1	Mixed_downstream
APOA1	EM_downstream
APP	None
APPL1	EM_downstream
AR	Mixed_downstream
ARAF	EM_downstream
AREG	UC_downstream
ARHGEF17	UC_downstream
ARHGEF2	MM_downstream
ARL6IP5	EM_downstream
ARNT2	UC_downstream
ARNT	Mixed_downstream
ARNTL2	EM_downstream
ARNTL	Mixed_downstream
ARRB1	EM_downstream
ARRB2	Mixed_downstream
ARTN	EM_downstream
ASAH2	EM_downstream
ASCL1	None
ASH2L	EM_downstream
ATF1	Mixed_downstream
ATF2	Mixed_downstream
ATF3	Mixed_downstream
ATF4	Mixed_downstream
ATF5	EM_downstream
ATF6	Mixed_downstream
ATF7	EM_downstream
ATG5	None
ATG7	Mixed_downstream
ATM	None
ATP1B4	EM_downstream
ATP2A1	UC_downstream
ATP7B	Mixed_downstream
ATR	UC_downstream
BACH1	Mixed_downstream
BACH2	Mixed_downstream
BATF3	MM_downstream
BCAR1	EM_downstream
BCL2	EM_downstream
BCL2L1	Mixed_downstream
BCL3	EM_downstream
BCL6	EM_downstream
BCL9	EM_downstream
BCR	EM_downstream
BDNF	Mixed_downstream
BECN1	None
BHLHE40	UC_downstream
BHLHE41	EM_downstream
BID	None
BIN1	UC_downstream
BIRC5	EM_downstream
BLVRA	Mixed_downstream
BMF	EM_downstream
BMP2	EM_downstream
BMP4	EM_downstream
BMP6	EM_downstream
BMP7	EM_downstream
BMPR2	EM_downstream
BNIP3L	Mixed_downstream
BPTF	Mixed_downstream
BRAF	EM_downstream
BRCA1	Mixed_downstream
BRD4	EM_downstream
BSG	EM_downstream
C5	EM_downstream
CA9	Mixed_downstream
CALCA	Mixed_downstream
CALCOCO1	MM_downstream
CALM1	Mixed_downstream
CALM2	Mixed_downstream
CALM3	Mixed_downstream
CAMP	UC_downstream
CARM1	Mixed_downstream
CASP1	EM_downstream
CASP3	None
CASP8	EM_downstream
CASR	None
CAT	Mixed_downstream
CAV1	Mixed_downstream
CAV3	Mixed_downstream
CBFA2T3	Mixed_downstream
CBFB	None
CBL	EM_downstream
CBR1	Mixed_downstream
CCDC59	MM_downstream
CCKBR	EM_downstream
CCL11	EM_downstream
CCL2	MM_downstream
CCL5	EM_downstream
CCNC	None
CCND1	EM_downstream
CCND3	EM_downstream
CCNH	UC_downstream
CCNT1	UC_downstream
CCNT2	UC_downstream
CCS	EM_downstream
CD28	EM_downstream
CD2	MM_downstream
CD3D	EM_downstream
CD3E	EM_downstream
CD3G	EM_downstream
CD40LG	EM_downstream
CD44	Mixed_downstream
CD4	EM_downstream
CD55	EM_downstream
CD80	EM_downstream
CD86	EM_downstream
CD8A	EM_downstream
CDC16	EM_downstream
CDC23	EM_downstream
CDC25C	EM_downstream
CDC26	EM_downstream
CDC42	None
CDC5L	EM_downstream
CDH1	EM_downstream
CDH2	EM_downstream
CDK12	UC_downstream
CDK19	None
CDK4	EM_downstream
CDK6	EM_downstream
CDK7	UC_downstream
CDK8	None
CDK9	UC_downstream
CDKN1A	EM_downstream
CDKN1B	Mixed_downstream
CDKN2A	Mixed_downstream
CDKN2D	EM_downstream
CDX2	Mixed_downstream
