Regulator	Target
A1BG	A2M
AADAC	CYP3A4
ABCB1	BCL2
ABCB1	VEGFA
ABCB6	VEGFA
ABCC1	GCLC
ABCC2	ABCC3
ABL1	COL1A1
ABL1	HDC
ACO1	FTL
ACTA2	FN1
ACTA2	COL1A1
ACTL6A	PTMA
ACTL6A	CAD
ACTL6A	GPAM
ACTL6A	HSPD1
ACTL6A	NCL
ACTL6A	NME1
ADAM17	TNFSF11
ADAM17	MUC5AC
ADAR	CYP1A1
ADAR	DHFR
ADCY7	INCENP
ADIPOQ	ADIPOR1
ADIPOQ	ATG5
ADIPOQ	BCL2
ADIPOQ	ICAM1
ADIPOQ	IL6
ADIPOQ	SQSTM1
ADIPOQ	BAX
ADIPOQ	COL3A1
ADIPOQ	FTH1
ADIPOR1	COL3A1
ADIPOR1	ADIPOR2
ADIRF	PPARG
ADM	NOS2
ADORA2A	NR1H3
ADORA2A	ABCA1
ADORA2A	CYP27A1
ADORA2B	HSD11B2
ADRA2A	CCND1
ADRA2B	CCND1
ADRA2C	CCND1
ADRB1	PTGS2
ADRB2	ATG5
ADRB2	CFTR
ADRB2	CXCL8
ADRB2	GNAS
ADRB2	PTGS2
ADRB2	TNF
ADRM1	NOS2
AES	CCND1
AES	MYC
AES	PPARD
AGAP2	CCND1
AGO1	CDKN2A
AGO1	MYC
AGO1	NOTCH1
AGO1	NOTCH2
AGO1	PTEN
AGO1	RUNX1
AGO1	NLK
AGO1	NOTCH3
AGO1	NOTCH4
AGO2	MYC
AGO2	NOTCH1
AGO2	NOTCH2
AGO2	PTEN
AGO2	RUNX1
AGO2	NLK
AGO2	NOTCH3
AGO2	NOTCH4
AGO3	CDKN2A
AGO3	MYC
AGO3	NOTCH1
AGO3	NOTCH2
AGO3	PTEN
AGO3	RUNX1
AGO3	NLK
AGO3	NOTCH3
AGO3	NOTCH4
AGO4	CDKN2A
AGO4	MYC
AGO4	NOTCH1
AGO4	NOTCH2
AGO4	PTEN
AGO4	RUNX1
AGO4	NLK
AGO4	NOTCH3
AGO4	NOTCH4
AGT	ABCB1
AGT	AGTR1
AGT	AGTR2
AGT	BCL2
AGT	BMP4
AGT	CCL2
AGT	CDKN1B
AGT	CYBA
AGT	CYBB
AGT	EDN1
AGT	EGR1
AGT	F3
AGT	FOS
AGT	FOSL1
AGT	HBEGF
AGT	HMOX1
AGT	ICAM1
AGT	IL10
AGT	IL18
AGT	IL1B
AGT	IL6
AGT	INHBA
AGT	IRF1
AGT	KDR
AGT	LIF
AGT	MDM2
AGT	MMP14
AGT	MMP9
AGT	NCF1
AGT	NCF2
AGT	NFE2L2
AGT	NFIL3
AGT	NOX4
AGT	PLAUR
AGT	PPARG
AGT	PTGS2
AGT	RELA
AGT	SOD2
AGT	TGFB1
AGT	TGIF1
AGT	TIMP1
AGT	TLR4
AGT	TNF
AGT	VEGFA
AGT	COL1A1
AGT	BAX
AGT	NOS2
AGT	ADAMTS1
AGT	AGER
AGT	AGTRAP
AGT	APOE
AGT	AVP
AGT	COL4A2
AGT	CXCL10
AGT	CYP11B1
AGT	CYP11B2
AGT	DUSP5
AGT	DYRK2
AGT	FGF5
AGT	FILIP1L
AGT	FZD2
AGT	GAD1
AGT	HDAC9
AGT	HIVEP1
AGT	ID2
AGT	IER2
AGT	IER3
AGT	ITGAM
AGT	KLF10
AGT	KLF9
AGT	MAFF
AGT	MMP2
AGT	MN1
AGT	MYH7
AGT	NPPA
AGT	NUP98
AGT	OLR1
AGT	PPP1R3C
AGT	RCAN1
AGT	RGS3
AGT	SELP
AGT	SERPINE1
AGT	SLC25A32
AGT	SNN
AGT	SPRY2
AGT	THBS1
AGT	TH
AGT	VCAM1
AGTR1	ANGPT2
AGTR2	NOS3
AHR	ABCB6
AHR	ACTA2
AHR	ADRB2
AHR	ANXA1
AHR	ARNT
AHR	ARRB2
AHR	ASCL1
AHR	ATF2
AHR	BCL6
AHR	BDNF
AHR	BHLHE41
AHR	BIN1
AHR	BRCA1
AHR	CCL2
AHR	CCL5
AHR	CCND1
AHR	CDH1
AHR	CDH2
AHR	CDK4
AHR	CDK6
AHR	CDKN1A
AHR	CDKN1B
AHR	CDKN2A
AHR	CGB5
AHR	CGB8
AHR	CRH
AHR	CSF1
AHR	CTGF
AHR	CXCL8
AHR	CXCR4
AHR	CYP1A1
AHR	CYP1A2
AHR	CYP1B1
AHR	DDIT3
AHR	EDNRB
AHR	EGR1
AHR	EGR3
AHR	EPO
AHR	EREG
AHR	ESR1
AHR	ESR2
AHR	FGF9
AHR	FOSB
AHR	FOXD3
AHR	FOXO3
AHR	FST
AHR	GNAO1
AHR	GSTA1
AHR	H2AFZ
AHR	HDAC3
AHR	HELZ2
AHR	HES1
AHR	HIST1H2AD
AHR	HIST1H2BF
AHR	HIST1H3D
AHR	HMGCR
AHR	HMOX1
AHR	HOXA5
AHR	HOXC4
AHR	IL12A
AHR	IL1B
AHR	IL24
AHR	IL6
AHR	JAG1
AHR	KLF4
AHR	MAF
AHR	MAX
AHR	MAZ
AHR	MEIS1
AHR	MKL1
AHR	MOV10
AHR	MT2A
AHR	NFE2L2
AHR	NPC1
AHR	NQO1
AHR	NR0B1
AHR	NR2F2
AHR	NR3C1
AHR	NRF1
AHR	NRG1
AHR	ONECUT1
AHR	PAX2
AHR	PAX6
AHR	PDGFB
AHR	PGR
AHR	PKM
AHR	PON1
AHR	POU2F1
AHR	PPRC1
AHR	PRDM1
AHR	PRDX4
AHR	PTEN
AHR	PTF1A
AHR	PTGS2
AHR	PTMA
AHR	RARG
AHR	RBBP7
AHR	RBPJ
AHR	REL
AHR	RELB
AHR	REPIN1
AHR	RHOA
AHR	RUNX1
